E-Value  Score  Seq-Id  TMH  Total_aa  TMD
5e-29  104.2  NP_689914  2  14  5058  2
5e-29  104.2  XP_011513432  2  14  5059  2
5e-29  104.3  XP_011513433  1  14  5028  1
4.9e-29  104.3  XP_011513436  1  14  4950  2
4.8e-29  104.3  XP_011513438  3  14  4861  2
4.5e-29  104.4  XP_011513439  1  12  4602  2
4.4e-29  104.4  XP_011513440  1  9  4468  2
4.4e-29  104.4  XP_011513441  1  9  4456  2
4.2e-29  104.5  XP_011513443  1  9  4329  2
4.2e-29  104.5  XP_011513444  1  9  4298  2
4.4e-29  104.5  XP_016867256  1  9  4433  2
4.3e-29  104.5  XP_016867257  1  9  4396  2
5e-29  104.3  XP_011513434  2  14  5028  2
5e-29  104.3  XP_011513435  1  14  5013  1
1.8e-28  102.4  NP_056472  3  15  2277  3
2.1e-28  102.2  NP_775099  2  16  2595  2
2.1e-28  102.2  XP_011509253  2  14  2598  2
1.7e-32  115.5  NP_001597  1  13  2436  2
1.8e-32  115.5  NP_997698  4  17  2466  4
1.7e-32  115.5  XP_006717059  1  13  2435  2
5.1e-32  114.0  NP_005493  2  14  2261  2
5.1e-32  114.0  XP_005251830  1  15  2263  2
4.9e-32  114.0  XP_005251833  3  14  2203  3
5.1e-32  114.0  XP_011516641  1  15  2288  2
5.1e-32  114.0  XP_011516642  1  15  2288  2
5.1e-32  114.0  XP_011516643  2  14  2286  2
4.7e-32  114.1  XP_011516644  3  14  2142  3
3.2e-32  114.6  XP_011516646  1  9  1565  2
5.1e-32  114.0  XP_016869867  1  15  2288  2
5.1e-32  114.0  XP_016869868  1  15  2288  2
5.1e-32  114.0  XP_016869869  1  15  2288  2
5.1e-32  114.0  XP_016869870  1  15  2288  2
5e-32  114.0  XP_016869871  1  15  2242  2
2.1e-32  115.2  NP_000341  2  12  2273  2
4.1e-27  98.0  NP_061985  1  14  2146  1
2.9e-27  98.5  XP_006722680  1  12  1636  2
2.9e-27  98.5  XP_011525935  1  12  1631  2
2.6e-27  98.7  XP_011525936  1  9  1487  2
2.6e-27  98.7  XP_011525937  1  9  1487  2
2.6e-27  98.7  XP_016881632  1  9  1487  2
4.1e-27  98.0  XP_024307083  1  14  2151  1
4.1e-27  98.0  XP_024307084  1  14  2151  1
1.6e-19  73.4  XP_024307085  1  14  2142  1
4.1e-27  98.1  XP_024307086  2  14  2133  2
3.8e-27  98.2  XP_024307090  3  13  1999  3
2.3e-27  98.9  XP_024307092  2  9  1370  2
2.3e-27  98.9  XP_024307093  2  9  1370  2
4.1e-27  98.1  XP_006722679  1  13  2128  2
4e-27  98.1  XP_024307087  1  12  2108  1
3.9e-27  98.1  XP_024307088  2  14  2066  2
3.8e-27  98.2  XP_024307089  2  10  2002  2
1.8e-31  112.2  NP_001080  2  14  1704  2
4.8e-31  110.8  NP_061142  1  17  1642  2
4.8e-31  110.8  NP_758424  1  17  1642  2
2.5e-31  111.7  NP_525022  1  15  1624  2
2.6e-31  111.7  XP_016879500  1  15  1632  2
2.5e-31  111.7  XP_016879501  1  15  1626  2
2.5e-31  111.7  XP_016879502  1  15  1626  2
2.2e-31  111.9  XP_016879504  2  16  1476  2
2.6e-31  111.7  XP_024306297  1  15  1634  2
2.5e-31  111.7  XP_024306298  1  15  1626  2
1.7e-31  112.3  XP_024306299  1  14  1205  2
4.3e-34  120.7  NP_001275914  2  16  1621  2
4.3e-34  120.7  NP_001275915  2  16  1616  2
4.1e-34  120.8  NP_001362700  1  14  1560  2
1.2e-33  119.2  NP_001362701  1  7  1147  1
2.4e-34  121.5  XP_011522494  1  10  1063  2
7e-33  116.8  NP_525023  1  16  1617  1
5.3e-33  117.2  XP_011522876  2  11  1300  2
7e-33  116.8  XP_016879893  1  16  1617  1
7e-33  116.8  XP_016879894  1  16  1617  1
5.9e-33  117.0  XP_016879895  2  13  1422  2
5.9e-33  117.0  XP_016879896  2  13  1422  2
5.1e-26  94.5  XP_016879897  1  8  932  1
5.8e-33  117.0  XP_024306451  1  14  1401  2
3.4e-23  85.3  NP_001338224  2  17  1603  2
3.4e-23  85.3  XP_016873686  2  17  1604  2
3.4e-23  85.3  XP_016873688  2  17  1603  2
1.4e-19  73.6  XP_016873690  1  17  1499  2
2e-23  86.1  XP_016873691  2  8  1103  2
1.5e-23  86.5  XP_016873693  2  6  900  1
1.9e-23  86.2  XP_024304436  2  8  1037  2
3.3e-23  85.4  NP_000343  2  17  1581  2
3.3e-23  85.4  NP_001274103  2  17  1582  2
