E-Value  Score  Seq-Id
8.7e-40  139.2  NP_000918.2
8.7e-40  139.2  NP_001335873.1
8.7e-40  139.2  NP_001335875.1
9.3e-40  139.1  NP_001335874.1
1.6e-39  138.4  NP_061338.1
1.6e-39  138.3  NP_000434.1
1.7e-39  138.2  XP_011514615.2
1.8e-39  138.2  XP_011514611.3
2.5e-37  131.2  NP_001157413.1
4.1e-37  130.5  XP_016860656.1
1.3e-39  138.6  XP_011514617.2
1.6e-39  138.3  NP_061337.1
1.7e-39  138.3  XP_016867812.1
1.7e-39  138.2  XP_011514614.3
5.3e-37  130.1  XP_016860655.1
1.7e-39  138.2  XP_011514613.3
1.8e-39  138.2  XP_011514612.3
1.8e-39  138.1  XP_011514610.3
6.9e-37  129.8  XP_016860654.1
6.9e-37  129.8  NP_003733.2
7e-37  129.8  XP_006712880.1
7.1e-37  129.7  XP_011510379.1
7.1e-37  129.7  XP_011510380.1
7.4e-36  126.4  NP_525021.3
4.3e-34  120.7  NP_001275915.1
4.3e-34  120.7  NP_001275914.1
4.1e-34  120.8  NP_001362700.1
1.2e-33  119.2  NP_001362701.1
2.2e-31  111.9  XP_016879504.1
2.5e-31  111.7  NP_525022.2
2.5e-31  111.7  XP_016879501.1
2.5e-31  111.7  XP_016879502.1
2.5e-31  111.7  XP_024306298.1
2.6e-31  111.7  XP_016879500.1
2.6e-31  111.7  XP_024306297.1
5.3e-33  117.2  XP_011522876.1
5.9e-33  117.0  XP_016879895.1
5.9e-33  117.0  XP_016879896.1
4.8e-31  110.8  NP_061142.2
4.8e-31  110.8  NP_758424.1
7e-33  116.8  NP_525023.2
7e-33  116.8  XP_016879893.1
7e-33  116.8  XP_016879894.1
1e-33  119.5  NP_000483.3
1.7e-32  115.5  XP_006717059.1
1.7e-32  115.5  NP_001597.2
1.8e-32  115.5  NP_997698.1
2.1e-28  102.2  NP_775099.2
2.1e-28  102.2  XP_011509253.1
7.4e-37  129.7  NP_848654.3
7.4e-37  129.7  XP_011513669.1
1.8e-28  102.4  NP_056472.2
2.1e-32  115.2  NP_000341.2
4.9e-32  114.0  XP_005251833.1
4.7e-32  114.1  XP_011516644.1
5e-32  114.0  XP_016869871.1
5.1e-32  114.0  XP_005251830.1
5.1e-32  114.0  NP_005493.2
5.1e-32  114.0  XP_011516641.1
5.1e-32  114.0  XP_011516642.1
5.1e-32  114.0  XP_016869867.1
5.1e-32  114.0  XP_016869868.1
5.1e-32  114.0  XP_016869869.1
5.1e-32  114.0  XP_016869870.1
5.1e-32  114.0  XP_011516643.1
1.8e-31  112.2  NP_001080.2
1.2e-30  109.5  NP_001288758.1
1.2e-30  109.5  XP_005254082.1
1.2e-30  109.5  XP_016875808.1
1.3e-30  109.4  NP_005836.2
3.7e-32  114.4  NP_001337447.1
3.8e-32  114.4  XP_016866943.1
3.8e-32  114.4  XP_016866944.1
1.9e-31  112.1  XP_011520782.1
1.9e-31  112.1  XP_011520783.1
1.9e-31  112.1  NP_001338729.1
2.1e-31  112.0  XP_011520781.1
2.1e-31  111.9  NP_001162.4
2.2e-31  111.9  XP_024306029.1
5.8e-32  113.8  NP_258261.2
6e-32  113.7  NP_001185863.1
6.1e-32  113.7  XP_016866935.1
6.1e-32  113.7  XP_016866936.1
6.3e-32  113.7  XP_011513276.2
6.4e-32  113.7  XP_016866934.1
4.8e-29  104.3  XP_011513438.2
4.9e-29  104.3  XP_011513436.1
5e-29  104.3  XP_011513435.1
5e-29  104.3  XP_011513434.1
5e-29  104.3  XP_011513433.1
5e-29  104.2  XP_011513432.1
5e-29  104.2  NP_689914.3
1.6e-31  112.4  NP_001306961.1
4.4e-29  104.4  XP_016878730.1
4.6e-29  104.4  XP_011520800.1
4.6e-29  104.4  XP_016878728.1
4.6e-29  104.4  XP_016878727.1
4.6e-29  104.4  XP_011520799.1
4.7e-29  104.4  NP_004987.2
4.7e-29  104.3  XP_016878726.1
2.3e-31  111.9  XP_016860981.1
2.3e-31  111.9  XP_024309054.1
2.7e-31  111.6  NP_005679.2
2.7e-31  111.6  XP_005247115.1
2.7e-31  111.6  XP_005247116.1
2.7e-31  111.6  XP_011510616.1
7e-25  90.8  NP_005682.2
7e-25  90.8  XP_005253344.1
7e-25  90.8  NP_064693.2
7e-25  90.8  XP_005253341.1
7e-25  90.8  XP_005253343.1
7e-25  90.8  XP_005253345.1
7e-25  90.8  XP_011518847.1
6.9e-28  100.6  NP_150229.2
5.8e-33  117.0  XP_024306451.1
6.9e-27  97.3  NP_003777.2
1.7e-28  102.6  NP_009099.1
1.5e-29  105.9  XP_011521699.1
1.5e-29  105.9  XP_016879291.1
1.5e-29  105.9  XP_024306243.1
2.1e-29  105.5  XP_016879290.1
2.2e-29  105.4  NP_001357425.1
2.2e-29  105.4  NP_001357426.1
2.2e-29  105.4  NP_115972.2
2.2e-29  105.4  NP_149163.2
2.2e-29  105.4  XP_016879286.1
2.2e-29  105.4  XP_016879287.1
2.2e-29  105.4  XP_016879288.1
2.2e-29  105.4  XP_016879289.1
4.2e-24  88.3  XP_006719088.1
4.2e-24  88.3  XP_005253346.1
2.3e-27  98.9  XP_024307092.1
2.3e-27  98.9  XP_024307093.1
4.4e-26  94.7  XP_006717693.1
3.8e-27  98.2  XP_024307090.1
3.8e-27  98.2  XP_024307091.1
5.5e-27  97.6  XP_016866937.1
5.5e-27  97.6  XP_016866938.1
3.8e-27  98.2  XP_024307089.1
3.9e-27  98.1  XP_024307088.1
4e-27  98.1  XP_024307087.1
4.1e-27  98.1  XP_006722679.1
4.1e-27  98.1  XP_024307086.1
4.1e-27  98.0  NP_061985.2
4.1e-27  98.0  XP_024307083.1
4.1e-27  98.0  XP_024307084.1
2.6e-25  92.2  NP_009120.1
2.7e-25  92.1  NP_005683.2
4.5e-29  104.4  XP_016878729.1
5.5e-26  94.4  NP_000383.2
1.5e-23  86.5  XP_016873693.1
1.9e-23  86.2  XP_024304436.1
3.3e-23  85.4  NP_001338226.1
3.3e-23  85.4  NP_000343.2
3.3e-23  85.4  NP_001338225.1
3.3e-23  85.4  NP_001274103.1
3.4e-23  85.3  NP_001338224.1
3.4e-23  85.3  XP_016873688.1
3.4e-23  85.3  XP_016873686.1
2e-23  86.1  XP_016873691.1
2.9e-36  127.7  XP_011510383.1
4.1e-24  88.3  XP_005253347.1
2.6e-32  114.9  XP_011513287.1
2.6e-32  114.9  XP_011513288.1
2.6e-32  114.9  XP_016866945.1
2e-31  112.0  XP_016878701.1
2.2e-21  79.5  NP_001081.1
2.3e-21  79.4  NP_001020262.1
1.1e-19  73.9  XP_016866940.1
1.2e-19  73.9  XP_016866939.1
5.1e-19  71.8  XP_011510617.1
6.4e-31  110.4  XP_016875810.1
4.3e-29  104.5  XP_016878731.1
4.6e-19  71.9  NP_001338227.1
4.7e-19  71.9  NP_060828.2
9.1e-30  106.7  XP_011521700.1
4.7e-18  68.6  NP_660187.1
4.2e-37  130.5  XP_011510382.1
1.5e-36  128.7  XP_011542438.1
1.6e-19  73.4  XP_024307085.1
2.4e-36  128.0  XP_011542437.1
3.9e-36  127.3  NP_036221.2
2.3e-36  128.1  NP_001336757.1
2.5e-36  127.9  NP_005680.1
1.4e-16  63.9  NP_001035809.1
1.4e-16  63.9  NP_002931.2
6.2e-35  123.4  NP_001278951.1
7.2e-35  123.2  NP_061313.2
7.9e-35  123.1  NP_001276972.1
8.2e-35  123.0  NP_000535.3
1.2e-34  122.5  NP_000584.2
2.4e-34  121.5  XP_011522494.1
1.4e-19  73.6  XP_016873690.1
1.2e-33  119.2  NP_001258626.1
1.3e-33  119.2  NP_001258628.1
1.3e-33  119.2  NP_001258627.1
2.3e-33  118.4  XP_005253615.1
2.3e-33  118.4  XP_011536400.1
1.4e-33  119.1  NP_004290.2
1.4e-33  119.1  NP_001258625.1
3.6e-33  117.7  XP_024304677.1
3.3e-33  117.8  NP_001229943.1
3.4e-33  117.8  NP_982269.2
4.6e-33  117.4  XP_024304676.1
3.7e-33  117.7  NP_062570.1
4.1e-33  117.5  NP_062571.1
